ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
9/19/2019 8:20,-0.532129864,-0.052809725,9.57513881,1.858525747,9/19/2019
9/19/2019 9:20,6.380472819,-0.052388672,18.7232277,9.313651794,9/19/2019
9/19/2019 10:20,15.45697822,-0.053224272,28.39874563,19.1268742,9/19/2019
9/19/2019 11:20,23.03277208,-0.053737243,35.03369385,27.81584023,9/19/2019
9/19/2019 12:20,26.17876879,-0.051244673,36.91636983,32.57401186,9/19/2019
9/19/2019 13:20,24.81326758,-0.044543219,35.08180636,33.06597952,9/19/2019
9/19/2019 14:20,21.56969518,-0.035737238,32.18045749,31.23110005,9/19/2019
9/19/2019 15:20,19.54590372,-0.029330659,30.41662198,29.39258101,9/19/2019
9/19/2019 16:20,19.88095007,-0.029014832,30.24431864,28.39063245,9/19/2019
9/19/2019 17:20,21.16344215,-0.034793323,30.62481924,27.28162725,9/19/2019
9/19/2019 18:20,20.97114234,-0.042943796,30.23572717,24.62068496,9/19/2019
9/19/2019 19:20,17.99697396,-0.048872098,28.40199463,19.95701437,9/19/2019
9/19/2019 20:20,12.90433279,-0.050405291,25.12338518,14.18094836,9/19/2019
9/19/2019 21:20,7.426157237,-0.048807178,20.6139257,8.622884857,9/19/2019
9/20/2019 8:20,-3.147440806,-0.04680556,7.541525311,-2.053910381,9/20/2019
9/20/2019 9:20,3.909117567,-0.046963015,16.90740331,5.679511112,9/20/2019
9/20/2019 10:20,13.15822334,-0.048482103,26.82501725,15.82170567,9/20/2019
9/20/2019 11:20,20.933396,-0.049774169,33.72387815,24.8874755,9/20/2019
9/20/2019 12:20,24.30335262,-0.048145361,35.88952286,30.06683346,9/20/2019
9/20/2019 13:20,23.18388965,-0.042379966,34.35398408,31.02035335,9/20/2019
9/20/2019 14:20,20.2056552,-0.0345687,31.76451032,29.68285176,9/20/2019
9/20/2019 15:20,18.46347977,-0.029200746,30.32202577,28.37252264,9/20/2019
9/20/2019 16:20,19.09319166,-0.029951803,30.47704437,27.92414562,9/20/2019
9/20/2019 17:20,20.68000196,-0.036809081,31.18724309,27.38830805,9/20/2019
9/20/2019 18:20,20.7981487,-0.046033395,31.12658212,25.3140553,9/20/2019
9/20/2019 19:20,18.13694576,-0.053013481,29.61636432,21.24430344,9/20/2019
9/20/2019 20:20,13.35613801,-0.05555925,26.6527402,16.06294743,9/20/2019
9/20/2019 21:20,8.185015558,-0.054917551,22.44620201,11.0938772,9/20/2019
9/21/2019 8:20,-0.240497638,-0.055735548,11.09160977,4.81208569,9/21/2019
9/21/2019 9:20,6.838347775,-0.055215442,20.41856106,12.63324814,9/21/2019
9/21/2019 10:20,16.07566568,-0.055890407,30.26201495,22.79888226,9/21/2019
9/21/2019 11:20,23.80510469,-0.056176623,37.05220201,31.82323271,9/21/2019
9/21/2019 12:20,27.09591283,-0.053387225,39.07576036,36.89647225,9/21/2019
9/21/2019 13:20,25.86481295,-0.04631558,37.36619256,37.68005137,9/21/2019
9/21/2019 14:20,22.74376362,-0.037063497,34.57256796,36.11037089,9/21/2019
9/21/2019 15:20,20.82927401,-0.030133155,32.89796104,34.50789891,9/21/2019
9/21/2019 16:20,21.25919877,-0.029215018,32.79533982,33.71035328,9/21/2019
9/21/2019 17:20,22.62109832,-0.034312676,33.2251102,32.77188989,9/21/2019
9/21/2019 18:20,22.49185449,-0.04170476,32.86420384,30.24571186,9/21/2019
9/21/2019 19:20,19.56368717,-0.04679906,31.0371026,25.67943395,9/21/2019
