Time,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney World Railroad - Frontierland,Walt Disney's Enchanted Tiki Room,Sorcerers of the Magic Kingdom,The Barnstormer,Walt Disney World Railroad - Fantasyland,Casey Jr. Splash 'N' Soak Station,Cinderella Castle,Under the Sea - Journey of The Little Mermaid,Enchanted Tales with Belle,Seven Dwarfs Mine Train ,A Pirate's Adventure - Treasures of the Seven Seas,Allergy-Friendly Experience – Mickey's Not-So-Scary Halloween Party,Treat Locations for Mickey's Not-So-Scary Halloween Party,Pirate and Princess Adventures at Walt Disney World,Holiday Treats Locations - Mickey's Very Merry Christmas Party,Pirates at Walt Disney World Resort,Pirates at Walt Disney World,Horses - Disney Animals,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,Frontierland Shootin' Arcade,"""it's a small world""",Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Main Street Vehicles,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Swiss Family Treehouse,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tom Sawyer Island,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,"Walt Disney World Railroad - Main Street, U.S.A",Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-05-14 23:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-14 23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-14 23:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 00:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 20:10:00,0,20,0,0,0,15,0,0,0,20,20,90,0,0,0,0,0,0,0,0,30,35,25,0,15,0,15,45,0,5,0,20,55,35,50,90,0,25,15,25,0,30,10,0,5,0,0
2017-05-15 20:10:00,0,20,0,0,0,20,0,0,0,20,20,90,0,0,0,0,0,0,0,0,30,35,25,0,15,0,15,60,0,10,0,20,45,30,50,90,0,20,15,25,0,30,10,0,5,0,0
2017-05-16 21:10:00,0,0,0,0,0,5,0,0,0,5,0,20,0,0,0,0,0,0,0,0,20,5,5,0,10,0,10,5,0,5,0,5,30,5,5,5,0,5,5,5,0,5,0,0,0,0,0
2017-05-16 21:10:00,0,0,0,0,0,5,0,0,0,5,0,20,0,0,0,0,0,0,0,0,20,5,5,0,10,0,10,5,0,5,0,5,30,5,5,5,0,5,5,5,0,5,0,0,0,0,0
2017-05-16 21:10:00,0,0,0,0,0,5,0,0,0,5,0,10,0,0,0,0,0,0,0,0,10,5,5,0,10,0,10,5,0,5,0,5,25,5,5,5,0,5,5,5,0,10,0,0,0,0,0
2017-05-16 21:20:00,0,0,0,0,0,5,0,0,0,5,0,30,0,0,0,0,0,0,0,0,10,5,5,0,10,0,10,5,0,5,0,5,25,5,5,5,0,5,5,5,0,10,0,0,0,0,0
2017-05-16 21:20:00,0,0,0,0,0,5,0,0,0,10,0,20,0,0,0,0,0,0,0,0,70,5,5,0,10,0,10,5,0,5,0,5,20,5,5,5,0,5,5,5,0,10,0,0,0,0,0
2017-05-16 21:30:00,0,0,0,0,0,5,0,0,0,5,0,40,0,0,0,0,0,0,0,0,70,5,5,0,10,0,10,5,0,5,0,5,20,5,5,5,0,5,5,5,0,10,0,0,0,0,0
2017-05-16 21:30:00,0,0,0,0,0,5,0,0,0,5,0,20,0,0,0,0,0,0,0,0,70,10,10,0,10,0,10,5,0,5,0,5,50,5,25,10,0,5,5,5,0,10,0,0,0,0,0
2017-05-16 21:40:00,0,0,0,0,0,5,0,0,0,5,0,20,0,0,0,0,0,0,0,0,70,5,10,0,10,0,10,5,0,5,0,5,50,5,25,5,0,5,5,5,0,10,0,0,0,0,0
2017-05-16 21:40:00,0,0,0,0,0,5,0,0,0,5,0,45,0,0,0,0,0,0,0,0,70,5,5,0,10,0,10,5,0,5,0,5,40,5,35,10,0,5,5,5,0,20,0,0,0,0,0
2017-05-16 21:50:00,0,0,0,0,0,5,0,0,0,5,0,30,0,0,0,0,0,0,0,0,10,5,5,0,10,0,10,5,0,5,0,5,30,5,40,10,0,5,5,5,0,20,0,0,0,0,0
2017-05-16 21:50:00,0,0,0,0,0,5,0,0,0,5,0,30,0,0,0,0,0,0,0,0,10,5,5,0,10,0,10,5,0,5,0,5,25,5,40,10,0,5,5,5,0,20,0,0,0,0,0
2017-05-16 21:50:00,0,0,0,0,0,5,0,0,0,5,0,40,0,0,0,0,0,0,0,0,10,5,5,0,10,0,10,5,0,5,0,5,15,5,40,5,0,5,5,5,0,20,0,0,0,0,0
2017-05-16 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
